"step","time","S","I","R"
781,781,17439,0,82571
782,782,17439,0,82571
783,783,17439,0,82571
784,784,17439,0,82571
785,785,17439,0,82571
786,786,17439,0,82571
787,787,17439,0,82571
788,788,17439,0,82571
789,789,17439,0,82571
790,790,17439,0,82571
791,791,17439,0,82571
792,792,17439,0,82571
793,793,17439,0,82571
794,794,17439,0,82571
795,795,17439,0,82571
796,796,17439,0,82571
797,797,17439,0,82571
798,798,17439,0,82571
799,799,17439,0,82571
800,800,17439,0,82571
801,801,17439,0,82571
802,802,17439,0,82571
803,803,17439,0,82571
804,804,17439,0,82571
805,805,17439,0,82571
806,806,17439,0,82571
807,807,17439,0,82571
808,808,17439,0,82571
809,809,17439,0,82571
810,810,17439,0,82571
811,811,17439,0,82571
812,812,17439,0,82571
813,813,17439,0,82571
814,814,17439,0,82571
815,815,17439,0,82571
816,816,17439,0,82571
817,817,17439,0,82571
818,818,17439,0,82571
819,819,17439,0,82571
820,820,17439,0,82571
821,821,17439,0,82571
822,822,17439,0,82571
823,823,17439,0,82571
824,824,17439,0,82571
825,825,17439,0,82571
826,826,17439,0,82571
827,827,17439,0,82571
828,828,17439,0,82571
829,829,17439,0,82571
830,830,17439,0,82571
831,831,17439,0,82571
832,832,17439,0,82571
833,833,17439,0,82571
834,834,17439,0,82571
835,835,17439,0,82571
836,836,17439,0,82571
837,837,17439,0,82571
838,838,17439,0,82571
839,839,17439,0,82571
840,840,17439,0,82571
841,841,17439,0,82571
842,842,17439,0,82571
843,843,17439,0,82571
844,844,17439,0,82571
845,845,17439,0,82571
846,846,17439,0,82571
847,847,17439,0,82571
848,848,17439,0,82571
849,849,17439,0,82571
850,850,17439,0,82571
851,851,17439,0,82571
852,852,17439,0,82571
853,853,17439,0,82571
854,854,17439,0,82571
855,855,17439,0,82571
856,856,17439,0,82571
857,857,17439,0,82571
858,858,17439,0,82571
859,859,17439,0,82571
860,860,17439,0,82571
861,861,17439,0,82571
862,862,17439,0,82571
863,863,17439,0,82571
864,864,17439,0,82571
865,865,17439,0,82571
866,866,17439,0,82571
867,867,17439,0,82571
868,868,17439,0,82571
869,869,17439,0,82571
870,870,17439,0,82571
871,871,17439,0,82571
872,872,17439,0,82571
873,873,17439,0,82571
874,874,17439,0,82571
875,875,17439,0,82571
876,876,17439,0,82571
877,877,17439,0,82571
878,878,17439,0,82571
879,879,17439,0,82571
880,880,17439,0,82571
881,881,17439,0,82571
882,882,17439,0,82571
883,883,17439,0,82571
884,884,17439,0,82571
885,885,17439,0,82571
886,886,17439,0,82571
887,887,17439,0,82571
888,888,17439,0,82571
889,889,17439,0,82571
890,890,17439,0,82571
891,891,17439,0,82571
892,892,17439,0,82571
893,893,17439,0,82571
894,894,17439,0,82571
895,895,17439,0,82571
896,896,17439,0,82571
897,897,17439,0,82571
898,898,17439,0,82571
899,899,17439,0,82571
900,900,17439,0,82571
901,901,17439,0,82571
902,902,17439,0,82571
903,903,17439,0,82571
904,904,17439,0,82571
905,905,17439,0,82571
906,906,17439,0,82571
907,907,17439,0,82571
908,908,17439,0,82571
909,909,17439,0,82571
910,910,17439,0,82571
911,911,17439,0,82571
912,912,17439,0,82571
913,913,17439,0,82571
914,914,17439,0,82571
915,915,17439,0,82571
916,916,17439,0,82571
917,917,17439,0,82571
918,918,17439,0,82571
919,919,17439,0,82571
920,920,17439,0,82571
921,921,17439,0,82571
922,922,17439,0,82571
923,923,17439,0,82571
924,924,17439,0,82571
925,925,17439,0,82571
926,926,17439,0,82571
927,927,17439,0,82571
928,928,17439,0,82571
929,929,17439,0,82571
930,930,17439,0,82571
931,931,17439,0,82571
932,932,17439,0,82571
